This is Ipopt version 3.13.2, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   528190
Number of nonzeros in inequality constraint Jacobian.:   737044
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8004
                     variables with only lower bounds:      800
                variables with lower and upper bounds:     1200
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5594
Total number of inequality constraints...............:     9600
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     4800
        inequality constraints with only upper bounds:     4800

  61  1.1962165e+02 1.32e-05 2.61e-03  -4.5 1.73e-02    -  1.00e+00 1.00e+00h  1
  62  1.1962154e+02 3.81e-07 3.12e-03  -4.5 3.90e-02    -  1.00e+00 1.00e+00H  1
  63  1.1962135e+02 9.70e-08 5.56e-03  -4.5 1.00e-01    -  1.00e+00 1.00e+00H  1
  64  1.1962109e+02 1.86e-04 6.29e-03  -4.5 4.61e-02    -  1.00e+00 1.00e+00h  1
  65  1.1962105e+02 6.36e-05 4.29e-03  -4.5 2.77e-02    -  1.00e+00 1.00e+00h  1
  66  1.1962116e+02 1.20e-05 1.29e-03  -4.5 1.19e-02    -  1.00e+00 1.00e+00h  1
  67  1.1962119e+02 7.31e-06 5.29e-04  -4.5 1.54e-02    -  1.00e+00 1.00e+00h  1
  68  1.1962120e+02 2.94e-08 1.23e-03  -4.5 2.72e-02    -  1.00e+00 1.00e+00H  1
  69  1.1962120e+02 3.49e-08 1.12e-03  -4.5 5.22e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.1962131e+02 8.44e-10 4.61e-03  -4.5 1.34e-01    -  1.00e+00 1.00e+00H  1
  71  1.1962109e+02 2.13e-05 1.62e-03  -4.5 4.92e-02    -  1.00e+00 1.00e+00h  1
  72  1.1962115e+02 2.64e-05 3.43e-03  -4.5 1.15e-02    -  1.00e+00 1.00e+00h  1
  73  1.1962117e+02 7.94e-06 5.15e-04  -4.5 2.37e-02    -  1.00e+00 1.00e+00h  1
  74  1.1962122e+02 3.12e-07 2.35e-04  -4.5 9.14e-03    -  1.00e+00 1.00e+00h  1
  75  1.1953869e+02 3.34e-04 7.17e-03  -6.8 1.12e-01    -  7.23e-01 5.78e-01f  1
