s,V,gamma,n,t
2464.4398,47.969661200230874,50.0,3.4331179876588673,57.11294757080668
2464.4398,47.969661200230874,50.0,3.4331179876588673,57.11294757080668
2467.430625,48.17240832197186,50.0,3.6026513054577256,57.17356870302306
2470.42145,48.370244075016224,50.0,3.7334991070372077,57.233824725953085
2470.42145,48.370244075016224,50.0,3.7334991070372077,57.233824725953085
2473.4122749999997,48.56363285829486,50.0,3.830624353968699,57.29386049810022
2476.4030999999995,48.75334944788058,50.0,3.901217118668726,57.35373518308046
2476.4030999999995,48.75334944788058,50.0,3.901217118668726,57.35373518308046
2479.3939249999994,48.94018217902051,50.0,3.9514155845276555,57.41345521967438
2482.38475,49.124420712426605,50.0,3.984156671813544,57.472983738867626
2482.38475,49.124420712426605,50.0,3.984156671813544,57.472983738867626
2485.375575,49.306149890826504,50.0,4.000630104497456,57.53228874348643
2488.3664,49.48531754511329,50.0,3.9998556658573787,57.5913508488873
2488.3664,49.48531754511329,50.0,3.9998556658573787,57.5913508488873
2491.3572249999997,49.661866235388274,50.0,3.98026145429759,57.65015888940547
2494.3480499999996,49.835846298068724,50.0,3.9395400832155,57.70871787612148
2494.3480499999996,49.835846298068724,50.0,3.9395400832155,57.70871787612148
2497.338875,50.00736804577917,50.0,3.8752072423066664,57.76704165816456
2500.3297,50.17657780725231,50.0,3.784831692770993,57.82516057541896
2500.3297,50.17657780725231,50.0,3.784831692770993,57.82516057541896
2503.320525,50.3436449694724,50.0,3.6662428280381465,57.883112298014076
2506.31135,50.50881640387493,50.0,3.5180053586094697,57.940941542403166
2506.31135,50.50881640387493,50.0,3.5180053586094697,57.940941542403166
2509.302175,50.67238916307381,50.0,3.3391232391169194,57.998691325100346
2512.293,50.83480973866423,50.0,3.1291251401243785,58.05640027899934
2512.293,50.83480973866423,50.0,3.1291251401243785,58.05640027899934
2515.283825,50.99651515374118,50.0,2.8876219806723453,58.11410364810321
2518.27465,51.15767457425349,50.0,2.6146070608505196,58.17182942174352
2518.27465,51.15767457425349,50.0,2.6146070608505196,58.17182942174352
2521.2654749999997,51.31831981394453,50.0,2.3104169497803384,58.22960071112896
2524.2562999999996,51.47832259834862,50.0,1.976496724203936,58.28742861937333
2524.2562999999996,51.47832259834862,50.0,1.976496724203936,58.28742861937333
2527.2471249999994,51.63751696451856,50.0,1.6150714621993094,58.34531660909495
2530.23795,51.795727690700296,50.0,1.2300209029412443,58.403249564003865
2530.23795,51.795727690700296,50.0,1.2300209029412443,58.403249564003865
2533.228775,51.952770398706946,50.0,0.8260593008204598,58.46120173086474
2536.2196,52.108417207229614,50.0,0.4091238078189677,58.5191299538629
2536.2196,52.108417207229614,50.0,0.4091238078189677,58.5191299538629
2539.2104249999998,52.262434378159526,50.0,-0.014458116513555904,58.576986009283544
2542.20125,52.41460050418225,50.0,-0.43798859186750566,58.63471837284595
2542.20125,52.41460050418225,50.0,-0.43798859186750566,58.63471837284595
2545.192075,52.564678564806925,50.0,-0.8547868886024762,58.69227840771254
2548.1829,52.71235032359605,50.0,-1.2586244610473847,58.74962994790954
2548.1829,52.71235032359605,50.0,-1.2586244610473847,58.74962994790954
2551.173725,52.85728512415573,50.0,-1.6437483846843717,58.80674715154755
2554.16455,52.998976619981036,50.0,-2.004916091101016,58.86362329975194
2554.16455,52.998976619981036,50.0,-2.004916091101016,58.86362329975194
2557.1553750000003,53.13681827776403,50.0,-2.3367471297448623,58.92025889813229
2560.1462,53.270952783054575,50.0,-2.6351681799691846,58.97666812311301
2560.1462,53.270952783054575,50.0,-2.6351681799691846,58.97666812311301
2563.137025,53.40217836275073,50.0,-2.8978256205617483,59.03287098171901
2566.12785,53.531580767523955,50.0,-3.1246684603378503,59.088891752347884
2566.12785,53.531580767523955,50.0,-3.1246684603378503,59.088891752347884
2569.1186749999997,53.64176740667482,50.0,-3.3159539487981218,59.14475290346229
2572.1094999999996,53.64296048220457,50.0,-3.472238889214379,59.20054648292293
2572.1094999999996,53.64296048220457,50.0,-3.472238889214379,59.20054648292293
2575.100325,53.44185841572692,50.0,-3.594097802020609,59.256435306878245
2578.09115,53.00007265100465,50.0,-3.685230860466549,59.31267153854498
2578.09115,53.00007265100465,50.0,-3.685230860466549,59.31267153854498
2581.081975,52.314696087602385,50.0,-3.752986466828105,59.369528627251164
2584.0728,51.47884575500289,50.0,-3.8067535215162547,59.42722776854269
2584.0728,51.47884575500289,50.0,-3.8067535215162547,59.42722776854269
2587.063625,50.59358297699023,50.0,-3.8533582008935934,59.485912006539834
2590.05445,49.68569438741481,50.0,-3.8947057772827076,59.54563922437087
2590.05445,49.68569438741481,50.0,-3.8947057772827076,59.54563922437087
2593.045275,48.761233338793645,50.0,-3.9310184579764127,59.606464452630334
2596.0361,47.8209947942372,50.0,-3.961162827939709,59.668444856576066
2596.0361,47.8209947942372,50.0,-3.961162827939709,59.668444856576066
2599.026925,46.86485223254415,50.0,-3.984369089189549,59.73164255996856
2602.01775,45.894253430112016,50.0,-3.999892656779834,59.7961281818675
2602.01775,45.894253430112016,50.0,-3.999892656779834,59.7961281818675
2605.0085750000003,44.91193090333403,50.0,-4.006272193862984,59.86197599283035
2607.9994,43.92451802229601,50.0,-3.99995405941961,59.9292626396594
2607.9994,43.92451802229601,50.0,-3.99995405941961,59.9292626396594
2610.990225,42.93974326290144,50.0,-3.9762060970547988,59.99806326711924
2613.98105,41.96571871715756,50.0,-3.9288843936744478,60.06844831847138
2613.98105,41.96571871715756,50.0,-3.9288843936744478,60.06844831847138
2616.9718749999997,41.00960796298185,50.0,-3.851647200699869,60.140484339869424
2619.9626999999996,40.0737010797287,50.0,-3.738433673421488,60.2142371632216
2619.9626999999996,40.0737010797287,50.0,-3.738433673421488,60.2142371632216
2622.953525,39.15845851864996,50.0,-3.583607079144537,60.28977568676435
2625.9443499999998,38.26207409503674,50.0,-3.382346088406879,60.36717887726206
2625.9443499999998,38.26207409503674,50.0,-3.382346088406879,60.36717887726206
2628.9351749999996,37.38227280110002,50.0,-3.130215929934649,60.44653316225322
2631.926,36.51752364369213,50.0,-2.823372602082022,60.527937694092905
2631.926,36.51752364369213,50.0,-2.823372602082022,60.527937694092905
2634.916825,35.666621378127786,50.0,-2.4581726036698055,60.6114961966813
2637.90765,34.82889359186883,50.0,-2.0312842252002827,60.69732070438603
2637.90765,34.82889359186883,50.0,-2.0312842252002827,60.69732070438603
2640.898475,34.00370050821052,50.0,-1.5391478059203667,60.785527791435456
2643.8893,33.18981641075632,50.0,-0.9804947771061924,60.87625629168871
2643.8893,33.18981641075632,50.0,-0.9804947771061924,60.87625629168871
2646.8801249999997,32.38582577077153,50.0,-0.3573714839535426,60.969633425668384
2649.8709499999995,31.592447525679116,50.0,0.30914235130973533,61.0654028572433
2649.8709499999995,31.592447525679116,50.0,0.30914235130973533,61.0654028572433
2652.8617750000003,30.81313954548967,50.0,0.9811630681235646,61.1628960695824
2655.8526,30.05277277307085,50.0,1.6061828571232906,61.26110692196154
2655.8526,30.05277277307085,50.0,1.6061828571232906,61.26110692196154
2658.843425,29.31298786363523,50.0,2.1398363735764336,61.359413125820886
2661.83425,28.588156382939072,50.0,2.570929360713831,61.458306251926075
2661.83425,28.588156382939072,50.0,2.570929360713831,61.458306251926075
2664.8250749999997,27.880383250545524,50.0,2.9057571134634093,61.55862216343977
2667.8158999999996,27.234812680483444,50.0,3.16716239260143,61.661012327527274
2667.8158999999996,27.234812680483444,50.0,3.16716239260143,61.661012327527274
2670.806725,26.698179216357037,50.0,3.380132982516329,61.76569518915844
2673.79755,26.26673456619283,50.0,3.561879955864769,61.8721050847215
2673.79755,26.26673456619283,50.0,3.561879955864769,61.8721050847215
2676.7883749999996,25.924828826127907,50.0,3.7197678233077465,61.97948615443459
2679.7792,25.66736641220823,50.0,3.8490415606131827,62.087286108155716
2679.7792,25.66736641220823,50.0,3.8490415606131827,62.087286108155716
2682.770025,25.491129393895875,50.0,3.94351649241341,62.19524418477595
2685.76085,25.390621818160106,50.0,3.9999101885719224,62.30340107081518
2685.76085,25.390621818160106,50.0,3.9999101885719224,62.30340107081518
2688.751675,25.36466843257476,50.0,4.017884822498294,62.41179209254469
2691.7425,25.430132209790806,50.0,3.99998640606735,62.520309290993026
2691.7425,25.430132209790806,50.0,3.99998640606735,62.520309290993026
2694.7333249999997,25.609997801821436,50.0,3.9491459143075964,62.628705367190406
2697.7241499999996,25.932407551833318,50.0,3.866054251115102,62.736460310632516
2697.7241499999996,25.932407551833318,50.0,3.866054251115102,62.736460310632516
2700.7149750000003,26.40933998002547,50.0,3.7486891301334033,62.842936021730814
2703.7058,26.988938567141897,50.0,3.5891643604869357,62.947596569157994
2703.7058,26.988938567141897,50.0,3.5891643604869357,62.947596569157994
2706.696625,27.610636128689762,50.0,3.3765882505906246,63.050135249254915
2709.68745,28.238536663446578,50.0,3.0967455332905054,63.15075118328216
2709.68745,28.238536663446578,50.0,3.0967455332905054,63.15075118328216
2712.6782749999998,28.850768260967453,50.0,2.7350257558220843,63.24989822904722
2715.6691,29.453493265384548,50.0,2.2813151883264093,63.348268938029804
2715.6691,29.453493265384548,50.0,2.2813151883264093,63.348268938029804
2718.659925,30.057940995224357,50.0,1.7307269203962288,63.44651319474993
2721.65075,30.669020250103195,50.0,1.0964969435720855,63.54483501531547
2721.65075,30.669020250103195,50.0,1.0964969435720855,63.54483501531547
2724.6415749999996,31.28745006623491,50.0,0.40531696794046557,63.64300439648205
2727.6324,31.907746402842108,50.0,-0.2998357306473376,63.74019169831659
2727.6324,31.907746402842108,50.0,-0.2998357306473376,63.74019169831659
2730.6232250000003,32.52263395149578,50.0,-0.9753256453037067,63.83554668514314
2733.61405,33.1238137361527,50.0,-1.5904106232940205,63.928649030146644
2733.61405,33.1238137361527,50.0,-1.5904106232940205,63.928649030146644
2736.604875,33.70499971731467,50.0,-2.126002022773886,64.01941547780424
2739.5957,34.26485662425692,50.0,-2.5798478129704896,64.1081474950311
2739.5957,34.26485662425692,50.0,-2.5798478129704896,64.1081474950311
2742.5865249999997,34.80359794164158,50.0,-2.95504582050615,64.19520303886706
2745.5773499999996,35.32360894690018,50.0,-3.2605032400406904,64.28090249084717
2745.5773499999996,35.32360894690018,50.0,-3.2605032400406904,64.28090249084717
2748.5681750000003,35.82711365347652,50.0,-3.5060005539373087,64.36548280001212
2751.559,36.3143995071231,50.0,-3.699225195670452,64.44898446335618
2751.559,36.3143995071231,50.0,-3.699225195670452,64.44898446335618
2754.549825,36.78543279264374,50.0,-3.8447298982196503,64.53135699820963
2757.54065,37.24133353988159,50.0,-3.942460496818044,64.61249694562343
2757.54065,37.24133353988159,50.0,-3.942460496818044,64.61249694562343
2760.531475,37.68498986401399,50.0,-3.9911874681625377,64.69233148713599
2763.5223,38.11718913793504,50.0,-3.999966975493124,64.77084445934697
2763.5223,38.11718913793504,50.0,-3.999966975493124,64.77084445934697
2766.513125,38.532021735907364,50.0,-3.9899436034632636,64.84805475706072
2769.50395,38.92680785415198,50.0,-3.9835445784714385,64.92402860631016
2769.50395,38.92680785415198,50.0,-3.9835445784714385,64.92402860631016
2772.4947749999997,39.306325576711224,50.0,-3.9901227898597718,64.9988361367362
2775.4855999999995,39.67449641434084,50.0,-3.999950530776061,65.07254647991306
2775.4855999999995,39.67449641434084,50.0,-3.999950530776061,65.07254647991306
2778.4764249999994,40.03255692520567,50.0,-3.999889034490417,65.1452253835688
2781.46725,40.380708562885545,50.0,-3.9772376960871747,65.21696251313075
2781.46725,40.380708562885545,50.0,-3.9772376960871747,65.21696251313075
2784.458075,40.719436238773895,50.0,-3.9217784360165764,65.28786829336957
2787.4489,41.049650763138295,50.0,-3.8264852582280926,65.35807455801724
2787.4489,41.049650763138295,50.0,-3.8264852582280926,65.35807455801724
2790.4397249999997,41.37240428384531,50.0,-3.685218707159959,65.42772020986064
2793.4305499999996,41.68858915071096,50.0,-3.4937285568299523,65.49695306050769
2793.4305499999996,41.68858915071096,50.0,-3.4937285568299523,65.49695306050769
2796.421375,41.99902454148443,50.0,-3.2488124012930815,65.5659246693479
2799.4121999999998,42.30455663553279,50.0,-2.9505823126556545,65.63479485743122
2799.4121999999998,42.30455663553279,50.0,-2.9505823126556545,65.63479485743122
2802.403025,42.60598416474641,50.0,-2.6015096228865096,65.70371540012013
2805.39385,42.90376421999802,50.0,-2.210964284354499,65.77277476306686
2805.39385,42.90376421999802,50.0,-2.210964284354499,65.77277476306686
2808.384675,43.19804628458267,50.0,-1.793132745261354,65.84198211660593
2811.3755,43.48854798497973,50.0,-1.367840654671063,65.91118360317031
2811.3755,43.48854798497973,50.0,-1.367840654671063,65.91118360317031
2814.366325,43.77494236047821,50.0,-0.955124474704426,65.98018059999241
2817.35715,44.05715915308163,50.0,-0.5684811292307906,66.04879799446536
2817.35715,44.05715915308163,50.0,-0.5684811292307906,66.04879799446536
2820.3479749999997,44.335261668801614,50.0,-0.21467937403620058,66.11692815049402
2823.3387999999995,44.609087386662964,50.0,0.10792579012271793,66.18456912725318
2823.3387999999995,44.609087386662964,50.0,0.10792579012271793,66.18456912725318
2826.3296249999994,44.87840848583096,50.0,0.40187471665289876,66.25173681192496
2829.32045,45.14322034348134,50.0,0.6697079579815005,66.31845120125624
2829.32045,45.14322034348134,50.0,0.6697079579815005,66.31845120125624
2832.311275,45.40359503463097,50.0,0.9137396162086594,66.38473139234507
2835.3021,45.65959427305284,50.0,1.1361487655696831,66.4505957571109
2835.3021,45.65959427305284,50.0,1.1361487655696831,66.4505957571109
2838.2929249999997,45.9112761965267,50.0,1.3390533912665523,66.51606213246784
2841.2837499999996,46.158723471540185,50.0,1.5244048936000358,66.58114699719252
2841.2837499999996,46.158723471540185,50.0,1.5244048936000358,66.58114699719252
2844.274575,46.4020268570913,50.0,1.6940602470107022,66.6458660009953
2847.2653999999998,46.64128162315102,50.0,1.8496919113459551,66.71023311069946
2847.2653999999998,46.64128162315102,50.0,1.8496919113459551,66.71023311069946
2850.256225,46.876583548057,50.0,1.9928828540713168,66.77426139070343
2853.24705,47.108027939118145,50.0,2.1250236796413544,66.83796215267918
2853.24705,47.108027939118145,50.0,2.1250236796413544,66.83796215267918
2856.2378750000003,47.33570913365272,50.0,2.2474012696878853,66.90134594048745
2859.2287,47.5597196582802,50.0,2.3611121979140006,66.9644221848894
2859.2287,47.5597196582802,50.0,2.3611121979140006,66.9644221848894
2862.219525,47.78015097065722,50.0,2.4671681507796697,67.02719988252832
2865.21035,47.99709175359362,50.0,2.5664279887409704,67.08968724969453
2865.21035,47.99709175359362,50.0,2.5664279887409704,67.08968724969453
2868.2011749999997,48.21062909328894,50.0,2.6596815949198565,67.1518921690856
2871.1919999999996,48.420846623833626,50.0,2.747592636967629,67.21382192269635
2871.1919999999996,48.420846623833626,50.0,2.747592636967629,67.21382192269635
2874.182825,48.62782635573502,50.0,2.8307677786488403,67.27548353345146
2877.17365,48.83164719935751,50.0,2.909707411141218,67.33688354775013
2877.17365,48.83164719935751,50.0,2.909707411141218,67.33688354775013
2880.164475,49.03238620264289,50.0,2.9848625002758333,67.39802830364053
2883.1553,49.23011608555403,50.0,3.0565913335832247,67.45892375144979
2883.1553,49.23011608555403,50.0,3.0565913335832247,67.45892375144979
2886.1461249999998,49.424908132902374,50.0,3.1252089891886614,67.5195756714455
2889.13695,49.61683210373728,50.0,3.190951270508346,67.57998952141173
2889.13695,49.61683210373728,50.0,3.190951270508346,67.57998952141173
2892.127775,49.80595556527693,50.0,3.254018114540273,67.64017061556534
2895.1186,49.99233886208809,50.0,3.314540009071575,67.70012399873012
2895.1186,49.99233886208809,50.0,3.314540009071575,67.70012399873012
2898.109425,50.17604168188664,50.0,3.3726134286106326,67.75985459746789
2901.10025,50.3571281424964,50.0,3.4282723229970737,67.8193671049089
2901.10025,50.3571281424964,50.0,3.4282723229970737,67.8193671049089
2904.0910750000003,50.53565838888556,50.0,3.48152263511569,67.8786661056381
2907.0819,50.71167255045344,50.0,3.5323159321917768,67.93775599720423
2907.0819,50.71167255045344,50.0,3.5323159321917768,67.93775599720423
2910.072725,50.8852130136983,50.0,3.5805790486302493,67.99664110306827
2913.06355,51.05634822751421,50.0,3.6261144950290887,68.0553255530625
2913.06355,51.05634822751421,50.0,3.6261144950290887,68.0553255530625
2916.0543749999997,51.225136699440746,50.0,3.66860622490783,68.11381335911808
2919.0451999999996,51.39158225771628,50.0,3.7079611747973735,68.17210849003132
2919.0451999999996,51.39158225771628,50.0,3.7079611747973735,68.17210849003132
2922.036025,51.55571006111233,50.0,3.744516857407912,68.23021498247458
2925.0268499999997,51.71757921271641,50.0,3.7779720252747553,68.28813660328518
2925.0268499999997,51.71757921271641,50.0,3.7779720252747553,68.28813660328518
2928.0176749999996,51.87738635019272,50.0,3.8065869448486542,68.34587663020767
2931.0085,52.03430117676853,50.0,3.8325335799302787,68.40343946599864
2931.0085,52.03430117676853,50.0,3.8325335799302787,68.40343946599864
2933.9993249999998,52.186888235841344,50.0,3.8645461665212415,68.46083197988693
2936.99015,52.33766007411242,50.0,3.90874712302536,68.5180603244629
2936.99015,52.33766007411242,50.0,3.90874712302536,68.5180603244629
2939.980975,52.46257435379158,50.0,3.959599196993344,68.5751258028657
2942.9718,52.43489521574896,50.0,3.999910433666762,68.63213514725962
2942.9718,52.43489521574896,50.0,3.999910433666762,68.63213514725962
2945.9626249999997,52.144652596067544,50.0,4.015367897410636,68.68930720283926
2948.9534499999995,51.642512446972724,50.0,3.9999121392197243,68.74691692405918
2948.9534499999995,51.642512446972724,50.0,3.9999121392197243,68.74691692405918
2951.9442750000003,51.01298987931832,50.0,3.9513237402555528,68.80518149339194
2954.9351,50.315868245967664,50.0,3.8708917424913465,68.86422328833729
2954.9351,50.315868245967664,50.0,3.8708917424913465,68.86422328833729
2957.925925,49.59836600830359,50.0,3.759423839166474,68.92412752396454
2960.91675,48.878783410592455,50.0,3.615985924571831,68.98493450654853
2960.91675,48.878783410592455,50.0,3.615985924571831,68.98493450654853
2963.9075749999997,48.16584969867274,50.0,3.4389867601574426,69.04667763626763
2966.8983999999996,47.45909522140816,50.0,3.2265030861059176,69.10938692743044
2966.8983999999996,47.45909522140816,50.0,3.2265030861059176,69.10938692743044
2969.889225,46.75572454989084,50.0,2.9767128352368757,69.17309617184323
2972.8800499999998,46.05344260400323,50.0,2.6879717488678643,69.23784758082446
2972.8800499999998,46.05344260400323,50.0,2.6879717488678643,69.23784758082446
2975.8708749999996,45.35046762616994,50.0,2.358658094357784,69.30369028746408
2978.8617,44.64679876560412,50.0,1.9877320073951492,69.37068711102114
2978.8617,44.64679876560412,50.0,1.9877320073951492,69.37068711102114
2981.852525,43.9428868355464,50.0,1.5747871090367238,69.43890247777
2984.84335,43.2391823985804,50.0,1.1217665246379793,69.50838395436382
2984.84335,43.2391823985804,50.0,1.1217665246379793,69.50838395436382
2987.834175,42.53622771381329,50.0,0.6323272109633788,69.57915881218969
2990.825,41.83492960130782,50.0,0.11481118703683407,69.65118407561644
2990.825,41.83492960130782,50.0,0.11481118703683407,69.65118407561644
2993.8158249999997,41.13655594829723,50.0,-0.41929826921648333,69.72436457262634
2996.8066499999995,40.443137420209936,50.0,-0.9526199352857403,69.79849756845717
2996.8066499999995,40.443137420209936,50.0,-0.9526199352857403,69.79849756845717
2999.7974750000003,39.756896785347834,50.0,-1.465575310700568,69.8733477509318
3002.7883,39.079524628297634,50.0,-1.939438499036495,69.94872738433871
3002.7883,39.079524628297634,50.0,-1.939438499036495,69.94872738433871
3005.779125,38.411856171981356,50.0,-2.358285621667103,70.024532717383
3008.76995,37.752498291936426,50.0,-2.715043250764567,70.10088777235191
3008.76995,37.752498291936426,50.0,-2.715043250764567,70.10088777235191
3011.7607749999997,37.09919261876245,50.0,-3.0083075505593797,70.17801939077177
3014.7516,36.44945587678278,50.0,-3.244458625059138,70.25620843906957
3014.7516,36.44945587678278,50.0,-3.244458625059138,70.25620843906957
3017.742425,35.80111195469065,50.0,-3.432094933725969,70.33569984214735
3020.7332499999998,35.15252501502344,50.0,-3.5810027725674165,70.4166348410666
